I [A],B [mT],deltaI,deltaB
6.07,366,0.01,6.66
5.34,354,0.01,6.54
4.47,335,0.01,6.35
3.56,309,0.01,6.09
3.05,248.8,0.01,2.788
2.66,253,0.01,2.83
2.04,208.3,0.01,2.383
1.25,131.7,0.01,1.617
0.7,76.5,0.01,1.065
0,0.38,0.01,0.0338
-0.48,-49.6,0.01,0.796
-1.25,-132.7,0.01,1.627
-1.87,-190.8,0.01,2.208
-2.33,-229.9,0.01,2.599
-3.23,-294.6,0.01,3.246
-3.91,-320,0.01,6.2
-4.46,-336,0.01,6.36
-5.2,-354,0.01,6.54
-5.97,-369,0.01,6.69
-5.2,-355,0.01,6.55
-4.3,-336,0.01,6.36
-3.36,-307,0.01,6.07
-2.5,-259.3,0.01,2.893
-1.55,-174.2,0.01,2.042
-0.72,-91.2,0.01,1.212
0.003,-13.73,0.01,0.1673
0.34,22.21,0.01,0.2521
1.03,101.6,0.01,1.316
1.69,158.7,0.01,1.887
2.66,241.8,0.01,2.718
3.37,286,0.01,5.86
3.92,311,0.01,6.11
4.69,334,0.01,6.34
5.21,345,0.01,6.45
5.98,363,0.01,6.63