M0 [g],M1 [g],m0 [g],m1 [g],Mc [g],T0 [degC],T1 [degC]
0,902,0,1.12,0.3,18,25.8
0,903,2.34,3.65,0.3,18,25.8
0,1065,4.69,6.18,0.3,18,25.8
0,1020,7.03,8.82,0.3,18,25.8
0,989,0.48,2.22,0.3,18,27.8
0,813,3.38,4.86,0.3,18,28.1
0,1240,5.74,7.76,0.3,18,28.1
0,960,0.99,2.64,0.3,18,28.3
0,941,3.39,4.97,0.3,18,27.8
0,876,0.09,1.41,0.3,17.6,27.8
0,909,2.14,3.66,0.3,17.6,27.4
0,874,4.06,5.55,0.3,17.6,26.6
0,900.9,0.37,1.88,0.3,17.3,27.3
0,934.8,2.65,4.15,0.3,17.1,26.9
0,828.5,5.05,6.42,0.3,16.9,26.9
0,863.5,0.37,1.69,0.3,16.7,26.6